MODEL_NAME	TASK_TYPE	TIME(S)	BIN_SIZE/START_POINT
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	884.18	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	939.98	G_1_1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1029.15	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	621.78	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	773.06	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	764.48	G_1_2
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	845.47	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	956.16	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	782.94	G_1_4
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1142.6	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	835.71	G_1_4
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	630.66	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1146.93	G_1_1
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	996.96	G_1_3
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.5498_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	997.86	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	841.86	G_1_4
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	952.16	G_1_4
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1006.66	G_1_2
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	867.16	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	691.72	G_1_5
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1034.47	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	692.08	G_1_5
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1126.65	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-2.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1208.06	G_1_3
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	813.73	G_1_5
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	793.52	G_1_4
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	601.19	G_1_7
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	720.31	G_1_5
